Unnamed: 0,제품명,리뷰어,날짜,옵션,사이즈평가,밝기평가,색감평가,두께감평가,리뷰내용,이미지,링크,성별,키,몸무게,카테고리
0,Velour Soccer Jersey Black,LV.5 dayyeonn,2023.02.07,M,보통이에요,보통이에요,보통이에요,보통이에요,너무 예뻐요 스컬....역시 믿고사는 스컬프터 흑흑 다들 고민하지 말고 사십쇼,"[""'//image.msscdn.net/data/estimate/3034895_0/gallery_63e2296abadf3.jpg.list'""]",https://www.musinsa.com/app/goods/3034895,여성,164,54,기타
1,Velour Soccer Jersey Black,LV.6 현세현,2023.03.10,XL,보통이에요,보통이에요,보통이에요,보통이에요,살까말까 고민을 많이 했는데 너무 이뻐요 소재도 핏도 디자인도 다 맘에 들어요,"[""'//image.msscdn.net/data/estimate/3034895_0/gallery_640b31c0a9113.jpg.list'""]",https://www.musinsa.com/app/goods/3034895,남성,176,80,기타
2,Velour Soccer Jersey Black,LV.7 은공주!,2023.04.18,M,보통이에요,보통이에요,보통이에요,보통이에요,부드럽고 지금계절에 입기 딱 좋아요! 추천합니당,"[""'//image.msscdn.net/data/estimate/3034895_0/gallery_643e42543cf2b.jpg.list'""]",https://www.musinsa.com/app/goods/3034895,여성,168,53,기타
3,Velour Soccer Jersey Black,LV.4 서진.....,2023.02.10,L,커요,어두워요,선명해요,보통이에요,흐물흐물거려서 너무 예뻐요 ! 부디 밖에 나갔다가 겹치는 일만 없기를..근데 키 크신분들은 오버핏으로 입기 어려울 거 같네요,"[""'//image.msscdn.net/data/estimate/3034895_0/gallery_63e5de6caefce.jpg.list'""]",https://www.musinsa.com/app/goods/3034895,여성,155,150,기타
4,Velour Soccer Jersey Black,LV.6 on.S.,2023.02.18,M,보통이에요,보통이에요,선명해요,보통이에요,진짜 너무 예쁜거 아닙니까 핏 미치도록 예뻐요 남자 분들도 입어도 너무 예쁜 옷이에요,"[""'//image.msscdn.net/data/estimate/3034895_0/gallery_63f05ca03c76e.jpg.list'""]",https://www.musinsa.com/app/goods/3034895,남성,165,52,기타
5,Velour Soccer Jersey Black,LV.5 저희집고양이귀엽죠,2023.03.10,M,보통이에요,보통이에요,선명해요,보통이에요,느낌이 보들보들해서 너무 조아요 자주 입을듯요,"[""'//image.msscdn.net/data/estimate/3034895_0/gallery_640add1b706e3.jpg.list'""]",https://www.musinsa.com/app/goods/3034895,남성,167,62,기타
6,Velour Soccer Jersey Black,LV.8 ksh4154,2023.02.13,XL,보통이에요,보통이에요,보통이에요,보통이에요,촉감 보들보들하느 좋구 봄에 가볍게 입기 좋을거 같아요!,"[""'//image.msscdn.net/data/estimate/3034895_0/gallery_63e92a043e814.jpg.list'""]",https://www.musinsa.com/app/goods/3034895,남성,175,80,기타
7,Velour Soccer Jersey Black,LV.5 뉴비_d3c6d62d,2023.04.11,XL,보통이에요,보통이에요,보통이에요,두꺼워요,생각보다 도톰해서 덥기까지 한 정도였어요벨벳이라 예뻐요 !,"[""'//image.msscdn.net/data/estimate/3034895_0/gallery_64342a2c787df.jpg.list'""]",https://www.musinsa.com/app/goods/3034895,여성,163,69,기타
8,Velour Soccer Jersey Black,LV.5 형의옷장,2023.02.27,XL,보통이에요,보통이에요,선명해요,보통이에요,스컬프터 진짜 맛집인데요! ㅎㅎ 부들부들한 벨벳소재로 상의 하나만으로도 포인트가 되네요!,"[""'//image.msscdn.net/data/estimate/3034895_0/gallery_63fc7b9da1500.jpg.list'""]",https://www.musinsa.com/app/goods/3034895,남성,180,78,기타
9,Velour Soccer Jersey Black,LV.6 안솔하,2023.03.13,M,보통이에요,보통이에요,보통이에요,보통이에요,너무 너무 갖고싶었는데 세일할때 드디어 샀어요!촉감이 보들보들하니 너무 좋고 축구 유니폼 같기도 하고? 꾸안꾸룩으로 제대로 입니다!넘나 애정하는 옷💕,"[""'//image.msscdn.net/data/estimate/3034895_0/gallery_640f02834f614.jpg.list'""]",https://www.musinsa.com/app/goods/3034895,여성,158,51,기타
10,스탠다드 스웨츠 셔츠,LV.3 엄토리,30일 전,블랙/M,보통이에요,보통이에요,보통이에요,보통이에요,제 체형에 m사이즈 딱 맞아요! 좀 더 오버핏으로 입고 싶으시면 L 사는게 맞는거 같긴한데 저는 원하던 핏이라 좋았어요. 재질도 부드럽고 가격대비 너무 잘 입고 있습니당,"[""'//image.msscdn.net/data/estimate/3574305_0/gallery_6551aaf173e8c.jpg.list'""]",https://www.musinsa.com/app/goods/3574305,여성,162,61,셔츠
11,스탠다드 스웨츠 셔츠,LV.3 마이니산,16일 전,그레이/L,보통이에요,보통이에요,보통이에요,얇아요,그냥 무난한 느낌으로 샀는데 정말 기대 그대로네여. 다만 팔 기장이 약간 길어서 주름이 지는게 아쉽네요. 싸게 사서 불만은 없습니다. 이너로 안에 입을거라서 상관은 없을듯해요,"[""'//image.msscdn.net/data/estimate/3574305_0/gallery_65632eef01ad0.jpg.list'""]",https://www.musinsa.com/app/goods/3574305,남성,171,63,셔츠
12,스탠다드 스웨츠 셔츠,LV.3 뉴비_6cbef3ef1353,20일 전,연핑크/L,보통이에요,보통이에요,보통이에요,보통이에요,배송도 빠르고 잘 맞습니다.안에 레이어드 할거면 한치수 크게 주문해야할것같아요,"[""'//image.msscdn.net/data/estimate/3574305_0/gallery_655eaedd5fb14.jpg.list'""]",https://www.musinsa.com/app/goods/3574305,남성,171,69,셔츠
13,스탠다드 스웨츠 셔츠,LV.4 뉴비_6033cd563fc4,23일 전,백메란지/2XL,커요,밝아요,선명해요,보통이에요,종  크긴 한데 오버핀으로 편하게 입기엔 딱 좋습니다 두께는 기대했던것 보다 얇은 편이에요,"[""'//image.msscdn.net/data/estimate/3574305_0/gallery_6559e5480a7ca.jpg.list'""]",https://www.musinsa.com/app/goods/3574305,남성,180,90,셔츠
14,스탠다드 스웨츠 셔츠,LV.3 뉴비_6cbef3ef1353,20일 전,아이보리/L,보통이에요,보통이에요,보통이에요,보통이에요,배송도 빠르고 잘 맞습니다.안에 레이어드 할거면 한치수 크게 주문해야할것같아요,"[""'//image.msscdn.net/data/estimate/3574305_0/gallery_655eae9a17363.jpg.list'""]",https://www.musinsa.com/app/goods/3574305,남성,171,69,셔츠
